Date,Open,High,Low,Close,Adj Close,Volume
5/16/14,1095.180054,1102.910034,1088.560059,1102.910034,1102.910034,31736500
5/19/14,1100.579956,1116.040039,1099.619995,1114.430054,1114.430054,26642500
5/20/14,1112.079956,1112.079956,1092,1097.900024,1097.900024,30077000
5/21/14,1101.369995,1107.26001,1093.670044,1103.630005,1103.630005,27771400
5/22/14,1105.449951,1116.609985,1105.150024,1113.869995,1113.869995,27598000
5/23/14,1115.300049,1126.199951,1113.75,1126.189941,1126.189941,23962800
5/27/14,1132.430054,1144.099976,1132.430054,1142.199951,1142.199951,29110200
5/28/14,1140.839966,1140.839966,1132.949951,1136.680054,1136.680054,29764500
5/29/14,1140.089966,1141.349976,1134.780029,1140.069946,1140.069946,27090500
5/30/14,1141.72998,1141.72998,1130.800049,1134.5,1134.5,32634900
6/2/14,1136.369995,1136.819946,1121.050049,1128.900024,1128.900024,25090200
6/3/14,1125.22998,1129.26001,1118.660034,1126.150024,1126.150024,28671800
6/4/14,1122.910034,1131.75,1119.859985,1131.219971,1131.219971,27939200
6/5/14,1133.780029,1153.939941,1128.400024,1153.939941,1153.939941,31132700
6/6/14,1158.689941,1167.540039,1158.390015,1165.209961,1165.209961,28643000
6/9/14,1166.280029,1179.839966,1166.140015,1175.880005,1175.880005,28121800
6/10/14,1173.119995,1173.839966,1166.900024,1172.709961,1172.709961,27023600
6/11/14,1167.689941,1168.98999,1161.430054,1166.709961,1166.709961,27106200
6/12/14,1165.27002,1165.369995,1156.069946,1159.400024,1159.400024,30404800
6/13/14,1162.589966,1164.089966,1154.329956,1162.680054,1162.680054,25982300
6/16/14,1162.02002,1166.930054,1158.099976,1166.819946,1166.819946,29261300
6/17/14,1165.640015,1179.290039,1163.670044,1176.619995,1176.619995,29712600
6/18/14,1176.640015,1183.380005,1172.030029,1183.130005,1183.130005,30652200
6/19/14,1185.880005,1186.780029,1177.800049,1184.030029,1184.030029,29521500
6/20/14,1186.130005,1188.52002,1182.050049,1188.430054,1188.430054,43362400
6/23/14,1189.469971,1190.310059,1183.160034,1184.949951,1184.949951,27176300
6/24/14,1182.959961,1193.599976,1172.97998,1173.23999,1173.23999,30897000
6/25/14,1168.73999,1182.75,1168.530029,1182.680054,1182.680054,31067100
6/26/14,1182.609985,1182.790039,1172.910034,1180.709961,1180.709961,27788400
6/27/14,1175.25,1189.5,1175.02002,1189.5,1189.5,42905900
6/30/14,1188.410034,1193.400024,1185.23999,1192.959961,1192.959961,30373500
7/1/14,1196.22998,1213.550049,1196.130005,1205.949951,1205.949951,31882400
7/2/14,1204.780029,1207.369995,1198.579956,1199.5,1199.5,28514800
7/3/14,1203.469971,1208.150024,1203.430054,1208.150024,1208.150024,19980900
7/7/14,1204.640015,1204.650024,1186.569946,1186.73999,1186.73999,26812600
7/8/14,1184.719971,1184.719971,1166.969971,1172.150024,1172.150024,33024300
7/9/14,1174.869995,1177.369995,1170.130005,1173.810059,1173.810059,28588000
7/10/14,1158.589966,1168.219971,1151.119995,1161.859985,1161.859985,31656900
7/11/14,1160.119995,1161.76001,1155.199951,1159.930054,1159.930054,26846300
7/14/14,1168,1169.550049,1163.849976,1167.209961,1167.209961,27449200
7/15/14,1165.540039,1167.449951,1148.72998,1153.810059,1153.810059,33287400
7/16/14,1159.300049,1159.959961,1148.180054,1151.550049,1151.550049,33909500
7/17/14,1146.959961,1150.47998,1131.420044,1133.599976,1133.599976,33816800
7/18/14,1131.920044,1152.02002,1131.829956,1151.609985,1151.609985,31060600
7/21/14,1146.390015,1148.079956,1140.050049,1146.660034,1146.660034,26111600
7/22/14,1151.459961,1160.23999,1151.459961,1156.150024,1156.150024,28904800
7/23/14,1157.439941,1161.98999,1155.76001,1158.109985,1158.109985,28697200
7/24/14,1159.699951,1163.660034,1153.589966,1156.26001,1156.26001,32035300
7/25/14,1149.780029,1149.780029,1141.839966,1144.719971,1144.719971,26389600
7/28/14,1145.180054,1145.180054,1132.160034,1139.5,1139.5,28033200
7/29/14,1141.650024,1149.079956,1140.319946,1141.640015,1141.640015,31833000
7/30/14,1147.959961,1150.609985,1142.540039,1146.569946,1146.569946,34482500
7/31/14,1137.26001,1137.26001,1120.060059,1120.069946,1120.069946,41930000
8/1/14,1120.540039,1123.939941,1107.310059,1114.859985,1114.859985,37896600
8/4/14,1118.459961,1125.540039,1108.27002,1124.819946,1124.819946,30729200
8/5/14,1119.689941,1129.420044,1114.869995,1121.560059,1121.560059,34625200
8/6/14,1116.079956,1131.640015,1114.290039,1125.550049,1125.550049,35391500
8/7/14,1127.969971,1131.410034,1116.430054,1119.76001,1119.76001,32305200
8/8/14,1119.880005,1131.859985,1118.48999,1131.349976,1131.349976,29022800
8/11/14,1136.47998,1148.890015,1135.23999,1141.930054,1141.930054,27848900
8/12/14,1138.630005,1141.280029,1129.109985,1133.030029,1133.030029,26117000
8/13/14,1136.170044,1143.22998,1135.609985,1141.780029,1141.780029,27180200
8/14/14,1142.130005,1144.150024,1140.819946,1143.339966,1143.339966,26094600
8/15/14,1151.310059,1151.609985,1131.829956,1141.650024,1141.650024,30233800
8/18/14,1149.400024,1158.400024,1149.400024,1158.400024,1158.400024,26381600
8/19/14,1159.829956,1164.060059,1159.829956,1162.469971,1162.469971,26564300
8/20/14,1158.75,1159.219971,1152.77002,1157.51001,1157.51001,25795600
8/21/14,1157.219971,1160.969971,1147.449951,1160.030029,1160.030029,26389200
8/22/14,1159.380005,1163.219971,1154.959961,1160.339966,1160.339966,23018600
8/25/14,1167.130005,1170.689941,1161.800049,1165.219971,1165.219971,22338800
8/26/14,1166.189941,1176.119995,1166.189941,1175.170044,1175.170044,24519500
8/27/14,1176.400024,1177.069946,1171.140015,1172.709961,1172.709961,23443500
8/28/14,1168.26001,1169.089966,1164.109985,1165.949951,1165.949951,22824000
8/29/14,1167.589966,1174.819946,1164.780029,1174.349976,1174.349976,22591300
