Date,Open,High,Low,Close,Adj Close,Volume
1997-10-29,65.192726,66.073723,64.333748,91.968697,64.818275,10134400
1997-10-30,63.871258,65.236786,63.254559,89.937500,63.386742,9772900
1997-10-31,64.708168,65.192726,63.739094,92.062500,64.884399,7072700
1997-11-03,65.677284,66.514206,65.457001,94.000000,66.249908,5548500
1997-11-04,66.161804,66.558273,65.743317,94.000000,66.249908,3455700
1997-11-05,66.382034,67.152870,66.139771,94.312500,66.470131,4774900
1997-11-06,66.271896,66.492157,65.897537,93.953102,66.216866,3679800
1997-11-07,65.104637,65.721321,64.443916,92.937500,65.501068,10606800
1997-11-10,65.985634,66.139771,64.840332,92.375000,65.104637,4347900
1997-11-11,65.324860,65.589172,64.862350,92.406197,65.126625,3212400
1997-11-12,64.576027,65.346855,63.695065,90.500000,63.783176,6775300
1997-11-13,64.465889,64.950417,63.496819,91.812500,64.708168,8589600
1997-11-14,65.060593,65.820427,64.564964,93.062500,65.589172,5827900
1997-11-17,66.514206,67.174942,66.271896,94.781197,66.800476,5149900
1997-11-18,66.822571,67.020721,66.172829,94.187500,66.382034,3433600
1997-11-19,66.029678,66.998779,65.368919,94.656197,66.712387,4387900
1997-11-20,67.174942,68.033836,67.152870,96.093697,67.725555,4822700
1997-11-21,68.099983,68.232140,67.417183,96.750000,68.188049,5436500
1997-11-24,67.659508,67.901741,66.690376,95.000000,66.954681,4337200
1997-11-25,67.395195,67.527328,66.712387,95.250000,67.130913,4525000
1997-11-26,67.571396,67.648422,67.174942,95.531197,67.329086,2681100
1997-11-28,67.483276,67.835686,67.373116,95.625000,67.395195,1564700
1997-12-01,67.813637,69.135101,67.681480,98.093697,69.135101,4850900
1997-12-02,68.848831,69.057983,68.540466,97.500000,68.716667,1974900
1997-12-03,68.804771,69.443420,68.276154,97.781197,68.914833,3302500
1997-12-04,69.421440,69.575584,68.628563,97.687500,68.848831,2872500
1997-12-05,68.628563,69.773834,68.452354,98.937500,69.729820,3458800
1997-12-08,69.751785,69.773834,69.245270,98.656197,69.531548,2289200
1997-12-09,69.223206,69.487457,68.804771,98.062500,69.113121,1703000
1997-12-10,68.760681,68.958916,67.989830,97.218697,68.518417,3558400
1997-12-11,67.879715,68.077934,67.174942,95.562500,67.351143,5072800
1997-12-12,67.967827,68.011856,66.888580,95.750000,67.483276,4478400
1997-12-15,67.835686,68.441307,67.571396,96.718697,68.166031,4674700
1997-12-16,68.518417,68.936913,68.276154,97.312500,68.584526,2885800
1997-12-17,68.958916,68.980919,68.155006,96.812500,68.232140,2236300
